scenario_id,family,variant,k,n_history,pool_size,pool_frac_of_history,cap_binds,n_gold,n_found,k_feasible,strict,fractional,missing
constraint_retention_008,constraint_retention,,10,27,10,0.37037037037037035,1,2,1,1,0,0.5,t2
knowledge_update_001,knowledge_update,,10,24,10,0.4166666666666667,1,3,2,1,0,0.6666666666666666,t1
three_way_join_003,three_way_join,,10,12,10,0.8333333333333334,1,9,8,1,0,0.8888888888888888,t5
three_way_join_004,three_way_join,,10,12,10,0.8333333333333334,1,9,7,1,0,0.7777777777777778,"t6,t7"
three_way_join_004,three_way_join,,15,12,10,0.8333333333333334,0,9,7,1,0,0.7777777777777778,"t6,t7"
three_way_join_004,three_way_join,,20,12,10,0.8333333333333334,0,9,7,1,0,0.7777777777777778,"t6,t7"
ambiguous_reference_001,ambiguous_reference,,3,5,3,0.6,1,2,1,1,0,0.5,t1
ambiguous_reference_002,ambiguous_reference,,3,6,3,0.5,1,2,1,1,0,0.5,t1
ambiguous_reference_003,ambiguous_reference,,3,5,3,0.6,1,2,1,1,0,0.5,t1
ambiguous_reference_005,ambiguous_reference,,3,7,3,0.42857142857142855,1,2,1,1,0,0.5,t1
ambiguous_reference_006,ambiguous_reference,,3,5,3,0.6,1,2,1,1,0,0.5,t1
ambiguous_reference_007,ambiguous_reference,,3,5,3,0.6,1,2,1,1,0,0.5,t1
ambiguous_reference_008,ambiguous_reference,,3,5,3,0.6,1,2,1,1,0,0.5,t1
compound_turn_001,compound_turn,second_request,3,5,3,0.6,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_002,compound_turn,second_request,3,6,3,0.5,1,3,0,1,0,0.0,"t1,t2,t3"
compound_turn_003,compound_turn,second_request,3,6,3,0.5,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_004,compound_turn,second_request,3,7,3,0.42857142857142855,1,3,0,1,0,0.0,"t1,t2,t3"
compound_turn_005,compound_turn,second_request,3,7,3,0.42857142857142855,1,3,0,1,0,0.0,"t1,t2,t3"
compound_turn_006,compound_turn,second_request,3,5,3,0.6,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_007,compound_turn,second_request,3,6,3,0.5,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_008,compound_turn,second_request,3,7,3,0.42857142857142855,1,3,0,1,0,0.0,"t1,t2,t3"
compound_turn_009,compound_turn,second_request,3,6,3,0.5,1,3,0,1,0,0.0,"t1,t2,t3"
compound_turn_010,compound_turn,second_request,3,7,3,0.42857142857142855,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_011,compound_turn,first_request,3,5,3,0.6,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_012,compound_turn,first_request,3,5,3,0.6,1,3,1,1,0,0.3333333333333333,"t1,t2"
compound_turn_013,compound_turn,first_request,3,6,3,0.5,1,3,2,1,0,0.6666666666666666,t1
compound_turn_014,compound_turn,first_request,3,5,3,0.6,1,3,2,1,0,0.6666666666666666,t2
compound_turn_015,compound_turn,first_request,3,5,3,0.6,1,3,1,1,0,0.3333333333333333,"t1,t2"
constraint_retention_001,constraint_retention,,3,24,3,0.125,1,2,1,1,0,0.5,t1
constraint_retention_002,constraint_retention,,3,23,3,0.13043478260869565,1,2,1,1,0,0.5,t1
constraint_retention_003,constraint_retention,,3,22,3,0.13636363636363635,1,2,1,1,0,0.5,t1
constraint_retention_004,constraint_retention,,3,23,3,0.13043478260869565,1,2,1,1,0,0.5,t1
constraint_retention_005,constraint_retention,,3,22,3,0.13636363636363635,1,2,1,1,0,0.5,t1
constraint_retention_006,constraint_retention,,3,24,3,0.125,1,2,1,1,0,0.5,t1
constraint_retention_007,constraint_retention,,3,28,3,0.10714285714285714,1,2,1,1,0,0.5,t1
constraint_retention_008,constraint_retention,,3,27,3,0.1111111111111111,1,2,0,1,0,0.0,"t1,t2"
constraint_retention_009,constraint_retention,,3,22,3,0.13636363636363635,1,2,1,1,0,0.5,t1
