judge,key,family,model_key,method_label,ref_score,cand_score,delta
deepseek.v3.2,ambiguous_reference_005|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference,response_a,semantic_retrieval@1024,0.0,0.3333,0.3333
deepseek.v3.2,ambiguous_reference_002|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference,response_b,oracle_tree,0.3333,0.3333,0.0
deepseek.v3.2,ambiguous_reference_006|oracle_dag|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference,response_a,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,ambiguous_reference_004|sliding_window|1024|us.anthropic.claude-sonnet-4-6,ambiguous_reference,response_a,sliding_window@1024,1.0,1.0,0.0
deepseek.v3.2,ambiguous_reference_008|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference,response_b,full_history,0.25,0.0,-0.25
deepseek.v3.2,ambiguous_reference_007|oracle_tree|-|us.anthropic.claude-sonnet-4-6,ambiguous_reference,response_a,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,ambiguous_reference_003|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference,response_b,semantic_retrieval@1024,0.75,0.5,-0.25
deepseek.v3.2,ambiguous_reference_001|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference,response_b,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,ambiguous_reference_002|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,ambiguous_reference,response_b,oracle_dag,0.3333,0.3333,0.0
deepseek.v3.2,compound_turn_007|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,oracle_dag,0.5,0.5,0.0
deepseek.v3.2,compound_turn_003|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,semantic_retrieval@1024,0.5,0.5,0.0
deepseek.v3.2,compound_turn_009|oracle_dag|-|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,oracle_dag,0.5,0.5,0.0
deepseek.v3.2,compound_turn_002|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,sliding_window@1024,0.5,0.5,0.0
deepseek.v3.2,compound_turn_006|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,oracle_tree,0.3333,0.3333,0.0
deepseek.v3.2,compound_turn_012|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,compound_turn_014|sliding_window|1024|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,sliding_window@1024,1.0,1.0,0.0
deepseek.v3.2,compound_turn_010|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,full_history,1.0,1.0,0.0
deepseek.v3.2,compound_turn_001|oracle_tree|-|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,oracle_tree,0.25,0.25,0.0
deepseek.v3.2,compound_turn_004|full_history|-|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,full_history,1.0,0.6667,-0.3333
deepseek.v3.2,compound_turn_015|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,oracle_dag,0.25,0.5,0.25
deepseek.v3.2,compound_turn_013|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,semantic_retrieval@1024,0.25,0.25,0.0
deepseek.v3.2,compound_turn_011|oracle_dag|-|us.anthropic.claude-sonnet-4-6,compound_turn,response_a,oracle_dag,1.0,0.75,-0.25
deepseek.v3.2,compound_turn_005|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,sliding_window@1024,1.0,1.0,0.0
deepseek.v3.2,compound_turn_008|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,oracle_tree,0.5,0.5,0.0
deepseek.v3.2,compound_turn_010|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,compound_turn,response_b,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_005|sliding_window|1024|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,sliding_window@1024,0.6667,1.0,0.3333
deepseek.v3.2,constraint_retention_012|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,full_history,0.6667,1.0,0.3333
deepseek.v3.2,constraint_retention_011|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_008|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_003|oracle_dag|-|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_010|oracle_tree|-|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_009|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,sliding_window@1024,0.25,0.25,0.0
deepseek.v3.2,constraint_retention_004|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_006|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,oracle_dag,1.0,0.5,-0.5
deepseek.v3.2,constraint_retention_002|full_history|-|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,full_history,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_007|sliding_window|1024|us.anthropic.claude-sonnet-4-6,constraint_retention,response_a,sliding_window@1024,0.3333,0.0,-0.3333
deepseek.v3.2,constraint_retention_001|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,full_history,1.0,1.0,0.0
deepseek.v3.2,constraint_retention_005|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,constraint_retention,response_b,full_history,1.0,1.0,0.0
deepseek.v3.2,continuation_001|sliding_window|1024|us.anthropic.claude-sonnet-4-6,continuation,response_a,sliding_window@1024,1.0,0.75,-0.25
deepseek.v3.2,continuation_004|oracle_dag|-|us.anthropic.claude-sonnet-4-6,continuation,response_a,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,continuation_005|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,continuation,response_b,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,continuation_003|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,continuation,response_a,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,continuation_006|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,continuation,response_b,sliding_window@1024,1.0,1.0,0.0
deepseek.v3.2,continuation_009|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,continuation,response_b,full_history,1.0,1.0,0.0
deepseek.v3.2,continuation_008|oracle_tree|-|us.anthropic.claude-sonnet-4-6,continuation,response_a,oracle_tree,1.0,1.0,0.0
deepseek.v3.2,continuation_007|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,continuation,response_b,oracle_dag,0.5,0.5,0.0
deepseek.v3.2,continuation_002|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,continuation,response_b,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,continuation_010|full_history|-|us.anthropic.claude-sonnet-4-6,continuation,response_a,full_history,0.5,0.5,0.0
deepseek.v3.2,continuation_008|full_history|-|us.anthropic.claude-sonnet-4-6,continuation,response_a,full_history,1.0,1.0,0.0
deepseek.v3.2,join_then_split_006|oracle_dag|-|us.anthropic.claude-sonnet-4-6,join_then_split,response_a,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,join_then_split_003|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,semantic_retrieval@1024,1.0,1.0,0.0
deepseek.v3.2,join_then_split_007|oracle_tree|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,oracle_tree,1.0,0.3333,-0.6667
deepseek.v3.2,join_then_split_008|full_history|-|us.anthropic.claude-sonnet-4-6,join_then_split,response_a,full_history,1.0,0.75,-0.25
deepseek.v3.2,join_then_split_001|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,full_history,1.0,1.0,0.0
deepseek.v3.2,join_then_split_010|semantic_retrieval|1024|us.anthropic.claude-sonnet-4-6,join_then_split,response_a,semantic_retrieval@1024,1.0,0.6667,-0.3333
deepseek.v3.2,join_then_split_002|oracle_tree|-|us.anthropic.claude-sonnet-4-6,join_then_split,response_a,oracle_tree,0.5,0.5,0.0
deepseek.v3.2,join_then_split_009|sliding_window|1024|us.anthropic.claude-sonnet-4-6,join_then_split,response_a,sliding_window@1024,0.5,0.25,-0.25
deepseek.v3.2,join_then_split_004|sliding_window|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,sliding_window@1024,0.75,0.75,0.0
deepseek.v3.2,join_then_split_005|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,join_then_split_010|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,join_then_split,response_b,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,knowledge_update_008|oracle_dag|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,knowledge_update,response_b,oracle_dag,1.0,1.0,0.0
deepseek.v3.2,knowledge_update_004|full_history|-|us.anthropic.claude-sonnet-4-6,knowledge_update,response_a,full_history,1.0,1.0,0.0
deepseek.v3.2,knowledge_update_007|semantic_retrieval|1024|us.anthropic.claude-haiku-4-5-20251001-v1:0,knowledge_update,response_b,semantic_retrieval@1024,1.0,1.0,0.0
