key,target,length,scenario_id,family,method,budget,method_label,model_key,model,selected_turn_ids,context_tokens,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,route,input_tokens,output_tokens,reasoning_chars,answer_latency_s,stop_reason,usd,ts,build_latency_s,summary_text,summarized_turn_ids,stale_superseder_missing,reused,checklist_score,distractor_leakage,retraction
two_branch_join_001__L60|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_001,60,two_branch_join_001__L60,two_branch_join,full_history,,full_history,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30', 't31', 't32', 't33', 't34', 't35', 't36', 't37', 't38', 't39', 't40', 't41', 't42', 't43', 't44', 't45', 't46', 't47', 't48', 't49', 't50', 't51', 't52', 't53', 't54', 't55', 't56', 't57', 't58', 't59', 't60', 't61', 't62', 't63', 't64', 't65']",7692,0.09230769230769231,1.0,0.16901408450704225,1,0.9149765990639626,65,6,59,7692,anthropic.claude-haiku-4-5-20251001-v1:0,us.anthropic.claude-haiku-4-5-20251001-v1:0@us-east-1,8608,271,0.0,4.443,end_turn,0.009963,1789544944.569273,,,,,,1.0,0.0,0
two_branch_join_001__L30|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_001,30,two_branch_join_001__L30,two_branch_join,full_history,,full_history,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3862,0.2,1.0,0.33333333333333337,1,0.8306576903158985,30,6,24,3862,claude-sonnet-4-6,us.anthropic.claude-sonnet-4-6@us-east-1,4395,250,0.0,5.776,end_turn,0.016935,1789544945.893319,,,,,,0.6666666666666666,1.0,0
two_branch_join_001__L30|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_001,30,two_branch_join_001__L30,two_branch_join,full_history,,full_history,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3862,0.2,1.0,0.33333333333333337,1,0.8306576903158985,30,6,24,3862,anthropic.claude-haiku-4-5-20251001-v1:0,us.anthropic.claude-haiku-4-5-20251001-v1:0@us-east-1,4394,308,0.0,6.148,end_turn,0.005934,1789544946.265546,,,,,,0.6666666666666666,1.0,0
two_branch_join_001__L60|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_001,60,two_branch_join_001__L60,two_branch_join,full_history,,full_history,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30', 't31', 't32', 't33', 't34', 't35', 't36', 't37', 't38', 't39', 't40', 't41', 't42', 't43', 't44', 't45', 't46', 't47', 't48', 't49', 't50', 't51', 't52', 't53', 't54', 't55', 't56', 't57', 't58', 't59', 't60', 't61', 't62', 't63', 't64', 't65']",7692,0.09230769230769231,1.0,0.16901408450704225,1,0.9149765990639626,65,6,59,7692,claude-sonnet-4-6,us.anthropic.claude-sonnet-4-6@us-east-1,8609,332,0.0,8.837,end_turn,0.030807,1789544948.9636328,,,,,,0.6666666666666666,1.0,0
two_branch_join_002__L30|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_002,30,two_branch_join_002__L30,two_branch_join,full_history,,full_history,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3894,0.2,1.0,0.33333333333333337,1,0.8143297380585516,30,6,24,3894,claude-sonnet-4-6,us.anthropic.claude-sonnet-4-6@us-east-1,4378,245,0.0,5.486,end_turn,0.016809,1789544951.770763,,,,,,1.0,0.0,0
two_branch_join_002__L30|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_002,30,two_branch_join_002__L30,two_branch_join,full_history,,full_history,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3894,0.2,1.0,0.33333333333333337,1,0.8143297380585516,30,6,24,3894,anthropic.claude-haiku-4-5-20251001-v1:0,us.anthropic.claude-haiku-4-5-20251001-v1:0@us-east-1,4377,217,0.0,3.701,end_turn,0.005462,1789544955.490465,,,,,,1.0,0.0,0
two_branch_join_002__L60|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_002,60,two_branch_join_002__L60,two_branch_join,full_history,,full_history,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30', 't31', 't32', 't33', 't34', 't35', 't36', 't37', 't38', 't39', 't40', 't41', 't42', 't43', 't44', 't45', 't46', 't47', 't48', 't49', 't50', 't51', 't52', 't53', 't54', 't55', 't56', 't57', 't58', 't59', 't60', 't61']",7914,0.09836065573770492,1.0,0.1791044776119403,1,0.9086429112964367,61,6,55,7914,claude-sonnet-4-6,us.anthropic.claude-sonnet-4-6@us-east-1,8785,277,0.0,8.338,end_turn,0.03051,1789544957.32714,,,,,,0.6666666666666666,0.0,0
two_branch_join_002__L60|full_history|-|us.anthropic.claude-haiku-4-5-20251001-v1:0,two_branch_join_002,60,two_branch_join_002__L60,two_branch_join,full_history,,full_history,response_b,us.anthropic.claude-haiku-4-5-20251001-v1:0,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30', 't31', 't32', 't33', 't34', 't35', 't36', 't37', 't38', 't39', 't40', 't41', 't42', 't43', 't44', 't45', 't46', 't47', 't48', 't49', 't50', 't51', 't52', 't53', 't54', 't55', 't56', 't57', 't58', 't59', 't60', 't61']",7914,0.09836065573770492,1.0,0.1791044776119403,1,0.9086429112964367,61,6,55,7914,anthropic.claude-haiku-4-5-20251001-v1:0,us.anthropic.claude-haiku-4-5-20251001-v1:0@us-east-1,8784,275,0.0,4.661,end_turn,0.010159,1789544960.1771798,,,,,,1.0,0.0,0
two_branch_join_001__L30|full_history|-|minimax.minimax-m2.5,two_branch_join_001,30,two_branch_join_001__L30,two_branch_join,full_history,,full_history,response_c,minimax.minimax-m2.5,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3862,0.2,1.0,0.33333333333333337,1,0.8306576903158985,30,6,24,3862,minimax.minimax-m2.5,minimax.minimax-m2.5@us-east-1,3899,852,2410.0,18.4,end_turn,0.004384,1789544962.984409,,,,,,1.0,0.0,0
two_branch_join_003__L30|full_history|-|us.anthropic.claude-sonnet-4-6,two_branch_join_003,30,two_branch_join_003__L30,two_branch_join,full_history,,full_history,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3', 't4', 't5', 't6', 't7', 't8', 't9', 't10', 't11', 't12', 't13', 't14', 't15', 't16', 't17', 't18', 't19', 't20', 't21', 't22', 't23', 't24', 't25', 't26', 't27', 't28', 't29', 't30']",3707,0.2,1.0,0.33333333333333337,1,0.8079309414620988,30,6,24,3707,claude-sonnet-4-6,us.anthropic.claude-sonnet-4-6@us-east-1,4290,122,0.0,3.445,end_turn,0.0147,1789544966.448066,,,,,,1.0,0.0,0
