key,scenario_id,family,method,budget,model_key,model,selected_turn_ids,context_tokens,build_latency_s,stale_superseder_missing,recall_fallback,missing_gold_turns,context_precision,context_recall,context_f1,context_sufficiency,irrelevant_context_ratio,n_selected,n_evidence,n_distractors_selected,selected_turn_tokens,model_reported,input_tokens,output_tokens,reasoning_chars,answer_latency_s,stop_reason,usd,ts,copied_from,summary_text,summarized_turn_ids,checklist_score,all_required_satisfied,distractor_leakage,judge_model,judge_prompt_variant,judge_input_tokens,judge_output_tokens,opus_checklist_score,method_label
ambiguous_reference_004|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_004,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",302,0.0083,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,302,claude-sonnet-4-6,455,34,0.0,3.114,end_turn,0.001875,1789332128.1754591,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1155.0,347.0,,candidate_oracle@15
ambiguous_reference_001|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_001,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",222,0.0085,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,222,claude-sonnet-4-6,346,105,0.0,3.208,end_turn,0.002613,1789332128.269828,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1062.0,236.0,,candidate_oracle@15
ambiguous_reference_003|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_003,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",270,0.0084,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,270,claude-sonnet-4-6,402,117,0.0,3.232,end_turn,0.002961,1789332128.294003,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1086.0,263.0,,candidate_oracle@15
ambiguous_reference_002|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_002,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",237,0.0085,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,237,claude-sonnet-4-6,363,148,0.0,3.628,end_turn,0.003309,1789332128.689485,,,,0.3333333333333333,0.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1252.0,270.0,,candidate_oracle@15
ambiguous_reference_007|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_007,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",239,0.0006,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,239,claude-sonnet-4-6,373,35,0.0,1.665,end_turn,0.001644,1789332129.960732,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,953.0,228.0,,candidate_oracle@15
ambiguous_reference_008|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_008,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",251,0.001,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,251,claude-sonnet-4-6,368,103,0.0,2.691,end_turn,0.002649,1789332131.383618,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1020.0,264.0,,candidate_oracle@15
ambiguous_reference_006|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_006,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",260,0.0005,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,260,claude-sonnet-4-6,399,153,0.0,3.466,end_turn,0.003492,1789332131.737483,,,,1.0,1.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1070.0,296.0,,candidate_oracle@15
ambiguous_reference_005|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,ambiguous_reference_005,ambiguous_reference,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2']",259,0.0008,[],0,[],1.0,1.0,1.0,1,0.0,2,2,0,259,claude-sonnet-4-6,406,213,0.0,4.591,end_turn,0.004413,1789332132.7678819,,,,0.3333333333333333,0.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1461.0,257.0,,candidate_oracle@15
compound_turn_001|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,compound_turn_001,compound_turn,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3']",540,0.0009,[],0,[],0.3333333333333333,1.0,0.5,1,0.5703703703703704,3,1,2,540,claude-sonnet-4-6,724,232,0.0,5.245,end_turn,0.005652,1789332135.208134,,,,0.25,0.0,0.0,global.anthropic.claude-opus-4-6-v1,primary,1404.0,251.0,,candidate_oracle@15
compound_turn_002|candidate_oracle|15|us.anthropic.claude-sonnet-4-6,compound_turn_002,compound_turn,candidate_oracle,15.0,response_a,us.anthropic.claude-sonnet-4-6,"['t1', 't2', 't3']",573,0.0009,[],0,[],0.3333333333333333,1.0,0.5,1,0.6108202443280978,3,1,2,573,claude-sonnet-4-6,734,321,0.0,6.885,end_turn,0.007017,1789332138.271776,,,,0.5,0.0,1.0,global.anthropic.claude-opus-4-6-v1,primary,1704.0,312.0,,candidate_oracle@15
